"location";"state";"townsize"
"us";"OK";"a"
"us";"MI";"b"
"us";"UT";"h"
"us";"PA";"b"
"us";"ND";"f"
"us";"OR";"e"
"us";"NY";"d"
"se";"zz";"g"
"ph";"MA";"g"
"fi";"zz";"d"
"us";"VA";"f"
"es";"zz";"g"
"us";"IL";"e"
"us";"zz";"b"
"us";"OH";"b"
"us";"IL";"g"
"us";"PA";"b"
"us";"NE";"c"
"us";"OR";"b"
"us";"PA";"c"
"us";"IL";"g"
"us";"CA";"h"
"us";"OR";"c"
"us";"MA";"f"
"uk";"zz";"g"
"se";"zz";"e"
"hu";"zz";"g"
"us";"VA";"z"
"mx";"zz";"a"
"nl";"zz";"b"
"us";"NV";"g"
"us";"AZ";"i"
"us";"CO";"d"
"us";"OK";"e"
"us";"CA";"d"
"us";"WA";"d"
"uk";"zz";"i"
"us";"OR";"h"
"us";"NY";"d"
"no";"zz";"e"
"us";"MA";"b"
"us";"KT";"a"
"au";"zz";"b"
"us";"ME";"f"
"us";"IL";"e"
"bo";"zz";"d"
"mx";"zz";"f"
"us";"MI";"b"
"us";"FL";"z"
"ca";"ON";"i"
"us";"CA";"g"
"us";"NH";"d"
"us";"CA";"g"
"us";"FL";"e"
"us";"WI";"f"
"us";"MI";"h"
"us";"TN";"i"
"us";"CA";"z"
"ca";"AB";"g"
"us";"CO";"g"
"us";"NM";"f"
"mx";"zz";"d"
"us";"NY";"e"
"us";"PA";"d"
"us";"MA";"c"
"se";"zz";"f"
"us";"NE";"a"
"ca";"NB";"b"
"us";"WA";"c"
"us";"OR";"d"
"uk";"zz";"g"
"uk";"zz";"d"
"us";"MD";"a"
"us";"NY";"b"
"us";"CO";"g"
"us";"zz";"a"
"ca";"AB";"z"
"de";"zz";"c"
"us";"TX";"i"
"cl";"zz";"i"
"us";"PA";"c"
"us";"MA";"h"
"us";"CA";"c"
"au";"zz";"a"
"us";"FL";"f"
"us";"OR";"z"
"us";"CA";"e"
"us";"NY";"e"
"us";"IN";"f"
"zz";"zz";"z"
"us";"VA";"c"
"us";"IN";"b"
"uk";"zz";"d"
"us";"NY";"d"
"us";"CO";"d"
"us";"CA";"e"
"us";"NY";"f"
"us";"VA";"h"
"us";"CO";"c"
"us";"CA";"d"
"de";"zz";"g"
"us";"IL";"c"
"us";"NY";"b"
"us";"MI";"f"
"us";"ME";"b"
"ca";"BC";"h"
"ca";"QC";"g"
"ca";"QC";"e"
"zz";"zz";"z"
"us";"AL";"a"
"ca";"QC";"g"
"us";"OH";"d"
"us";"OR";"f"
"us";"FL";"g"
"us";"FL";"d"
"us";"TX";"c"
"us";"MT";"g"
"uk";"zz";"h"
"ca";"QC";"b"
"us";"CT";"f"
"us";"LA";"b"
"us";"MN";"b"
"us";"KS";"e"
"us";"OH";"c"
"us";"CA";"c"
"us";"MI";"d"
"ca";"ON";"f"
"us";"IL";"i"
"us";"KS";"i"
"us";"FL";"g"
"ca";"ON";"b"
"us";"AZ";"e"
"ca";"MB";"f"
"us";"MA";"c"
"us";"AL";"b"
"us";"CO";"e"
"pr";"zz";"b"
"us";"GA";"h"
"us";"WI";"h"
"us";"CA";"f"
"zz";"zz";"i"
"bo";"zz";"z"
"zz";"zz";"b"
"ca";"NS";"c"
"us";"NJ";"e"
"us";"DE";"c"
"us";"CT";"d"
"us";"GA";"a"
"us";"ID";"b"
"us";"MO";"b"
"ca";"QC";"b"
"us";"WA";"f"
"us";"TX";"f"
"us";"LA";"g"
"us";"MA";"c"
"us";"WA";"h"
"br";"zz";"g"
"us";"KS";"g"
"us";"MI";"f"
"us";"zz";"z"
"au";"zz";"i"
"us";"CA";"g"
"fi";"zz";"b"
"au";"zz";"e"
"ar";"zz";"e"
"mx";"zz";"i"
"us";"FL";"f"
"us";"CA";"e"
"us";"NY";"g"
"uk";"zz";"h"
"us";"IN";"c"
"us";"PA";"i"
"us";"MI";"z"
"us";"NJ";"f"
"nz";"zz";"b"
"cl";"zz";"d"
"us";"TX";"d"
"us";"IL";"a"
"us";"GA";"e"
"us";"MI";"d"
"br";"zz";"c"
"us";"PA";"d"
"us";"PA";"e"
"uk";"zz";"f"
"de";"zz";"e"
"se";"zz";"i"
"se";"zz";"b"
"se";"zz";"f"
"us";"CA";"g"
"se";"zz";"b"
"se";"zz";"f"
"us";"PA";"c"
"uk";"zz";"g"
"us";"CA";"f"
"se";"zz";"b"
"se";"zz";"c"
"uk";"zz";"d"
"se";"zz";"b"
"us";"WA";"e"
"ca";"AB";"i"
"us";"CA";"g"
"us";"OK";"g"
"ca";"AB";"i"
"us";"PA";"i"
"us";"SD";"b"
"us";"WA";"h"
"se";"zz";"b"
"us";"CA";"d"
"us";"NM";"d"
"se";"zz";"c"
"us";"IL";"i"
"us";"CA";"g"
"ca";"BC";"d"
"us";"SC";"e"
