species,age,count
other-ungulate,48,1
sea-otter,25,1
red-panda,25,3
brown-bear,25,2
raccoon,32,3
husky,50,1
river-otter,50,1
polar-bear,18,2
german-shep,14,4
griffin,13,2
other-canine,14,2
other-feline,14,5
rabbit,14,6
red-fox,13,8
other,13,5
other-bird,13,1
red-panda,29,3
sea-otter,35,1
kangaroo,16,3
rabbit,45,1
domestic-cat,46,1
arctic-fox,1,1
tiger,1,2
brown-bear,26,1
grizzly-bear,26,1
collie,1,1
hyena,40,1
sea-otter,33,1
snow-leopard,41,1
red-panda,41,2
deer,41,2
hyena,41,1
sea-otter,16,2
lion,36,3
leopard,36,1
deer,43,2
dragon,51,1
other-ungulate,51,1
rat,51,1
griffin,51,1
wolf,43,1
other-reptile,36,1
other-fox,51,2
sea-otter,51,1
grizzly-bear,32,1
bat,14,4
red-fox,7,1
other-ungulate,49,1
rat,33,2
wolf,57,3
other-ungulate,29,1
snow-leopard,40,1
wolf,62,1
koala,26,1
wolf,54,1
red-fox,54,1
lion,54,1
brown-bear,54,1
deer,31,3
grey-fox,38,2
red-fox,46,1
domestic-cat,40,1
jackal,46,1
red-fox,50,2
other-fox,38,1
other-dog,14,5
coyote,56,1
other-fox,47,1
cheetah,47,1
other-ungulate,36,2
weasel,28,1
grizzly-bear,53,1
tiger,40,1
red-fox,41,4
rat,41,3
other-fox,42,2
coyote,42,1
monkey,22,3
wolf,61,2
domestic-cat,61,1
horse,61,1
other-mustelid,47,1
domestic-cat,42,1
other-canine,36,1
leopard,38,1
panther,38,3
dragon,0,1
wolf,60,1
rabbit,71,1
polar-bear,38,1
other-bird,15,3
wolf,12,3
hyena,12,1
other-ungulate,37,2
grizzly-bear,33,1
skunk,41,1
wolf,46,2
other-dog,56,1
other-bear,64,1
snow-leopard,44,1
kangaroo,39,1
griffin,1,3
red-fox,42,1
lemur,29,2
panther,15,2
husky,51,1
other-bear,18,2
other-feline,61,1
cougar,47,1
raccoon,47,1
snow-leopard,38,1
cheetah,38,1
other-reptile,14,3
grizzly-bear,16,1
skunk,32,1
squirrel,14,1
coyote,14,2
monkey,16,1
badger,49,1
other-musteloid,24,1
horse,0,1
deer,0,1
panther,42,2
jackal,30,3
pandabear,29,1
other-bird,37,1
polar-bear,33,1
kangaroo,14,1
lizard,15,2
deer,14,3
other-canine,13,3
snow-leopard,1,1
cougar,19,2
squirrel,15,1
sea-otter,18,2
rabbit,61,1
leopard,58,1
german-shep,61,1
lizard,49,1
river-otter,49,1
kitsune,11,1
panther,11,1
dragon,11,1
jackal,13,3
wolf,9,1
red-fox,59,1
grey-fox,59,1
arctic-fox,59,1
kitsune,59,1
other-fox,59,1
coyote,59,2
jackal,59,1
german-shep,59,1
husky,59,1
collie,59,1
other-dog,59,1
other-canine,59,1
tiger,59,1
lion,59,1
leopard,59,1
snow-leopard,59,1
panther,59,1
cheetah,59,1
cougar,59,1
domestic-cat,59,1
other-feline,59,1
dragon,59,2
lizard,59,1
dinosaur,59,1
other-reptile,59,1
raccoon,59,1
skunk,59,1
badger,59,1
sea-otter,59,1
weasel,59,1
other-mustelid,59,1
red-panda,59,1
other-musteloid,59,1
horse,59,1
deer,59,1
other-ungulate,59,1
brown-bear,59,1
grizzly-bear,59,1
pandabear,59,1
polar-bear,59,1
other-bear,59,1
mouse,59,1
rat,59,1
squirrel,59,1
raven,59,1
raptor,59,1
other-bird,59,1
rabbit,59,1
kangaroo,59,2
koala,59,1
other-marsupial,59,1
lemur,59,1
monkey,59,1
other-primate,59,1
hyena,59,1
bat,59,1
griffin,59,1
other-primate,21,1
cheetah,15,5
rabbit,15,4
red-panda,15,2
coyote,43,1
horse,65,1
other-canine,37,1
lion,37,1
horse,1,1
grey-fox,13,2
kitsune,13,3
other-fox,60,1
jackal,14,2
cougar,14,2
wolf,4,1
collie,4,1
other,4,1
grey-fox,14,2
deer,33,1
mouse,33,1
husky,47,1
tiger,54,1
other-ungulate,54,1
lemur,41,1
griffin,41,1
deer,46,1
dragon,46,1
horse,37,1
bat,13,2
coyote,46,1
raptor,46,1
griffin,46,1
river-otter,52,1
sea-otter,52,1
grizzly-bear,15,1
rat,11,1
other,11,1
other,71,1
grizzly-bear,43,1
river-otter,46,1
kangaroo,30,1
raptor,12,1
snow-leopard,2,1
brown-bear,14,1
raptor,1,1
weasel,19,1
lizard,36,1
mouse,37,1
other-musteloid,38,1
griffin,14,1
raptor,14,1
other-canine,34,1
lizard,14,2
raptor,15,1
badger,35,1
rabbit,1,1
raven,1,1
other-canine,12,1
other-bear,15,1
other-canine,41,1
red-fox,1,1
cougar,44,1
brown-bear,52,1
other-bear,52,1
brown-bear,30,1
husky,42,1
polar-bear,35,1
other-fox,39,1
other-musteloid,40,1
cheetah,37,1
cougar,30,1
collie,15,1
other-dog,12,1
leopard,52,1
other,52,1
monkey,18,1
other,6,1
