species,age,count
red-panda,30,4
other-reptile,32,4
other-ungulate,27,10
coyote,36,1
other-fox,36,2
red-fox,6,1
coyote,6,1
collie,6,1
panther,6,1
lizard,6,1
sea-otter,6,1
other-musteloid,6,1
other-ungulate,6,1
polar-bear,6,1
rat,6,1
raven,6,1
rabbit,6,1
koala,6,1
lemur,6,1
other-marsupial,21,6
pandabear,23,6
collie,25,7
other-bear,35,2
domestic-cat,28,31
monkey,25,2
other-primate,25,2
griffin,25,10
other-dog,17,28
arctic-fox,20,28
kitsune,20,28
other-canine,31,4
cougar,31,5
other-feline,20,35
river-otter,28,9
other-dog,30,14
pandabear,20,8
other-feline,17,28
other-dog,24,31
grizzly-bear,21,9
red-fox,34,8
weasel,30,2
squirrel,30,4
polar-bear,39,2
wolf,40,7
other-musteloid,20,1
wolf,32,42
raccoon,21,27
other-dog,18,50
wolf,34,27
husky,34,5
other-marsupial,36,1
lizard,26,7
kitsune,38,1
other-ungulate,38,3
rabbit,38,3
other-dog,19,61
other-ungulate,19,9
snow-leopard,57,2
other-reptile,23,10
coyote,33,4
other-canine,33,4
leopard,31,2
other-bird,22,13
cougar,33,4
other-fox,17,30
dinosaur,23,6
river-otter,23,12
hyena,51,1
tiger,30,21
arctic-fox,34,6
kitsune,34,8
coyote,34,5
husky,27,27
brown-bear,33,2
weasel,22,3
other-feline,25,28
griffin,20,13
horse,15,3
other-feline,35,9
other,35,15
arctic-fox,31,5
kitsune,31,10
other-fox,31,8
kangaroo,31,3
other-feline,28,27
other-ungulate,28,10
other,9,1
leopard,34,3
weasel,34,3
grizzly-bear,34,3
coyote,24,16
leopard,26,8
other-canine,24,19
squirrel,24,4
other-dog,25,32
other-reptile,25,12
other-canine,20,32
wolf,48,4
raptor,19,10
raccoon,28,6
other-marsupial,25,6
panther,34,4
snow-leopard,24,23
raccoon,20,24
rabbit,25,18
husky,30,24
rabbit,31,9
other-dog,20,47
other-marsupial,22,5
lizard,27,5
lion,23,19
raptor,23,8
kangaroo,23,6
dragon,49,1
dragon,33,12
other-ungulate,33,2
griffin,33,7
other-bear,25,4
grizzly-bear,27,1
hyena,29,3
badger,36,2
rat,19,9
other-feline,29,14
mouse,29,3
deer,62,1
domestic-cat,24,51
domestic-cat,20,72
squirrel,20,4
other-bird,20,16
lion,30,10
pandabear,46,2
red-fox,47,2
mouse,18,3
tiger,52,3
rabbit,52,1
kitsune,22,27
raccoon,45,1
pandabear,22,6
bat,28,10
other-reptile,19,11
rabbit,17,26
other-canine,32,8
badger,26,3
red-fox,35,7
coyote,35,4
river-otter,35,7
raven,35,1
raven,18,4
kangaroo,17,6
rabbit,28,17
cheetah,25,7
other-fox,29,7
dinosaur,35,4
weasel,35,1
tiger,32,8
german-shep,30,7
wolf,42,13
dragon,42,4
raccoon,42,2
badger,42,1
grizzly-bear,42,1
mouse,42,1
raven,42,1
rabbit,42,1
griffin,42,1
dragon,37,7
tiger,42,6
other-reptile,42,1
river-otter,36,1
other-bird,36,2
dragon,45,4
dinosaur,45,2
other-reptile,33,1
wolf,37,9
other-fox,25,30
red-panda,19,22
husky,1,7
horse,33,9
grey-fox,19,10
other-bear,21,5
lizard,19,22
dinosaur,19,11
collie,28,6
horse,18,11
raven,32,4
coyote,31,2
grey-fox,29,5
raccoon,29,5
tiger,36,5
other-bird,21,17
panther,20,14
arctic-fox,23,27
weasel,21,8
cheetah,28,4
lion,19,18
squirrel,19,6
other-fox,19,59
polar-bear,30,2
german-shep,23,16
collie,23,8
horse,23,17
red-fox,33,6
husky,18,66
river-otter,26,10
sea-otter,26,1
deer,26,12
other-bird,31,4
lion,32,3
cheetah,23,9
other-canine,29,5
other-bear,29,2
rat,29,2
brown-bear,28,5
other-fox,23,35
jackal,23,13
weasel,23,9
raptor,28,6
wolf,36,16
deer,32,4
rat,32,5
german-shep,26,8
raven,24,9
dinosaur,25,6
coyote,27,9
raccoon,27,11
squirrel,28,4
rat,24,7
husky,25,31
snow-leopard,27,13
other-reptile,38,1
other,38,7
wolf,15,70
other,15,29
other-ungulate,20,20
domestic-cat,33,10
deer,17,26
other-reptile,27,5
lizard,32,1
deer,36,2
cougar,20,3
sea-otter,20,11
weasel,20,3
deer,20,27
squirrel,34,1
wolf,44,9
griffin,47,1
lion,29,8
grey-fox,24,12
other-marsupial,29,1
raccoon,26,8
lizard,22,10
