male,female,male_quantized,female_quantized
0.7944103422619048,0.32314918154761907,4,2
0.9761904761904762,0.017857142857142905,5,1
0.5520368303571428,0.44647507440476186,3,3
0.9785713922409784,0.0020833696637835297,5,1
0.5361328125,0.5219029017857143,3,3
0.6848493303571428,0.31366257440476186,4,2
0.7266090029761905,0.39095052083333337,4,2
0.14454360235305064,0.8420635405040923,1,5
0.8103608630952381,0.05124627976190477,5,1
0.38774181547619047,0.5393415178571428,2,3
0.6670851934523809,0.0933314732142857,4,1
0.6254185267857143,0.004045758928571397,4,1
0.8843470982142857,0.1201171875,5,1
0.17303757440476186,0.8849981398809523,1,5
0.9758184523809523,0.016741071428571397,5,1
0.5629185267857143,0.3879743303571429,3,2
0.6704799107142857,0.083984375,4,1
0.9930710565476191,0.005440848214285698,5,1
0.8154761904761905,0.0892857142857143,5,1
0.08672805059523814,0.8403552827380952,1,5
0.7327938988095238,0.5335751488095238,4,3
0.9960472470238095,0.008417038690476164,5,1
0.47958519345238093,0.5129743303571428,3,3
0.9927455357142857,0.01171875,5,1
0.6594122023809523,0.4045758928571429,4,3
0.9917261941092355,0.0017261505126953125,5,1
0.9749007452101934,0.011706397646949362,5,1
0.8842757997058687,0.12971233186267672,5,1
0.40138894035702655,0.15783723195393884,3,1
0.10704367501395085,0.03134918212890625,1,1
0.7950613839285714,0.9891648065476191,4,5
0.9719122023809523,0.002790178571428603,5,1
0.9054129464285714,0.08714657738095233,5,1
0.6192955743698847,0.022073473249162978,4,1
0.9889322916666666,0.146484375,5,1
0.8062003907703218,0.6446924663725353,5,4
0.9645336696079799,0.016121092296782047,5,1
0.5119047619047619,0.5044642857142857,3,3
0.9272693452380952,0.05933779761904767,5,1
0.9527994791666666,0.009998139880952328,5,1
0.7760881696428572,0.30575706845238093,4,2
0.8163132440476191,0.2357700892857143,5,2
0.9647042410714286,0.039760044642857095,5,1
0.032180059523809534,0.061569940476190466,1,1
0.9587518601190477,0.004045758928571397,5,1
0.9734622410365513,0.019097282772972513,5,1
0.8650018601190477,0.37160528273809523,5,2
0.9532180059523809,0.24172247023809523,5,2
0.37708336966378353,0.008333297002883211,2,1
0.7847377232142857,0.1840122767857143,4,1
0.9527994791666666,0.12309337797619047,5,1
0.37244233630952384,0.5367838541666667,2,3
0.8960658482142857,0.1262555803571429,5,1
0.9527994791666666,0.0219029017857143,5,1
