male,female,male_quantized,female_quantized
0.2445591517857143,0.8387741815476191,2,5
0.9761904761904762,0.005952380952380931,5,1
0.46647135416666663,0.7954334077380952,3,4
0.012053535098121237,0.446279798235212,1,3
0.019019717261904767,0.9869326636904762,1,5
0.34035528273809523,0.24893043154761907,2,2
0.30004955473400297,0.6642361595517113,2,4
0.7367001488095238,0.22758556547619047,4,2
0.7962239583333334,0.22758556547619047,4,2
0.6482514880952381,0.08984375,4,1
0.9714006696428571,0.01669456845238093,5,1
0.48330543154761907,0.2250279017857143,3,2
0.8880673363095238,0.1000279017857143,5,1
0.3285435267857143,0.9274088541666666,2,5
0.9795386904761905,0.0026041666666666297,5,1
0.5696149553571428,0.4125279017857143,3,3
0.6652715773809523,0.025204613095238138,4,1
0.9997674851190477,0.00618489583333337,5,1
0.6353236607142857,0.6027715773809523,4,4
0.48628162202380953,0.47800409226190477,3,3
0.9905133928571429,0.009486607142857095,5,1
0.30896577380952384,0.27436755952380953,2,2
0.7911209833054316,0.20887901669456843,4,2
0.9046627226329985,0.07867068336123517,5,1
0.5973710559663319,0.20500982375372023,3,2
0.7987816220238095,0.9988374255952381,4,5
0.9756324404761905,0.0005580357142856984,5,1
0.6617062886555989,0.016865139915829608,4,1
0.9914682479131789,0.002579371134440067,5,1
0.9771824791317895,0.010912758963448677,5,1
0.49479166666666663,0.49925595238095233,3,3
0.9428943452380952,0.05710565476190477,5,1
0.9952101934523809,0.022646949404761862,5,1
0.8006417410714286,0.46126302083333337,5,3
0.8765811011904762,0.31984747023809523,5,2
0.9862816220238095,0.013718377976190466,5,1
0.032924107142857095,0.06231398809523814,1,1
0.9594959077380952,0.022646949404761862,5,1
0.9831348600841704,0.004960378011067745,5,1
0.8330078125,0.5122302827380952,5,3
0.023577008928571397,0.024042038690476164,1,1
0.2438988458542597,0.041815439860026005,2,1
0.6485770089285714,0.37523251488095233,4,2
0.3642578125,0.5524088541666667,2,3
0.9594959077380952,0.004789806547619069,5,1
0.008370535714285698,0.9916294642857143,1,5
0.9788690294538226,0.012797673543294308,5,1
0.5526289258684431,0.1633432479131789,3,1
0.7504464104062035,0.020386922927129847,4,1
0.9920014880952381,0.0020461309523809312,5,1
0.9945126488095238,0.9935825892857143,5,5
0.13848586309523814,0.7781808035714286,1,4
0.5577101934523809,0.28157552083333337,3,2
0.8766864594959077,0.19474211193266366,5,1
0.971031733921596,0.03492064703078501,5,1
0.8714781261625744,0.08090282621837797,5,1
0.47862098330543157,0.17316473098028273,3,1
0.6981026785714286,0.49237351190476186,4,3
0.42420632498604915,0.27222224644252235,3,2
0.897767838977632,0.018898827689034614,5,1
0.9980357942127046,0.0007740202404203922,5,1
0.9920479910714286,0.013904389880952328,5,1
0.9737258184523809,0.002464657738095233,5,1
0.8077101934523809,0.20419456845238093,5,2
0.9935019356863839,0.0005456833612351719,5,1
0.9956287202380952,0.004371279761904767,5,1
0.9950396219889323,0.004960378011067745,5,1
0.7453869524456206,0.17961303393046057,4,1
0.4446149553571429,0.12086123511904767,3,1
0.9986049107142857,0.0013950892857143016,5,1
0.005754016694568431,0.9882936023530506,1,5
0.35691034226190477,0.8990420386904762,2,5
0.1447916939145043,0.15997019268217538,1,1
0.3419642675490606,0.015178589593796477,2,1
0.9607514880952381,0.02139136904761907,5,1
0.9684244791666666,0.0018136160714286031,5,1
0.6825396219889324,0.3115079970586867,4,2
0.9582341512044271,0.03581346784319195,5,1
0.9773530505952381,0.034551711309523836,5,1
0.7792162214006697,0.6017361595517113,4,4
0.9773530505952381,0.028599330357142905,5,1
0.974206288655599,0.0019841875348772797,5,1
0.12430554344540545,0.2923611232212612,1,2
0.9853980654761905,0.014601934523809534,5,1
0.6380673363095238,0.1535993303571429,4,1
0.9654482886904762,0.8797898065476191,5,5
0.9862816220238095,0.007765997023809534,5,1
0.9569444202241444,0.007341294061569914,5,1
0.8166387648809523,0.14169456845238093,5,1
0.05813489641462055,0.06686510358537945,1,1
0.9777715773809523,0.01627604166666663,5,1
0.007533482142857095,0.8674665178571428,1,5
0.9890872410365513,0.004960378011067745,5,1
0.9970238095238095,0.0029761904761904656,5,1
0.9505673363095238,0.007765997023809534,5,1
0.10659717378162203,0.054117111932663664,1,1
0.9986049107142857,0.0013950892857143016,5,1
0.7524181547619048,0.24758184523809523,4,2
0.9885913303920201,0.014384860084170392,5,1
0.027948288690476164,0.03157552083333337,1,1
0.9867001488095238,0.0013950892857143016,5,1
0.8259858630952381,0.1442522321428571,5,1
0.9905133928571429,0.003534226190476164,5,1
0.9897693452380952,0.010230654761904767,5,1
0.09202938988095233,0.2353515625,1,2
0.9845733642578125,0.0154266357421875,5,1
0.9972098214285714,0.014694940476190466,5,1
0.9803292410714286,0.0018136160714286031,5,1
0.9250372023809523,0.0630580357142857,5,1
0.8952752976190477,0.11067708333333337,5,1
0.5167410714285714,0.5487351190476191,3,3
0.9807012648809523,0.01334635416666663,5,1
0.9051339285714286,0.06510416666666663,5,1
0.09044828869047616,0.9155040922619048,1,5
0.9803292410714286,0.007765997023809534,5,1
0.9905133928571429,0.009486607142857095,5,1
0.962890625,0.019252232142857095,5,1
0.0024800981794085297,0.9885913303920201,1,5
0.8297991071428572,0.8249627976190477,5,5
0.9964657738095238,0.009486607142857095,5,1
0.7099144345238095,0.4210379464285714,4,3
0.7809244791666666,0.2785993303571429,4,2
0.9875372023809523,0.018415178571428603,5,1
0.6755952380952381,0.0029761904761904656,4,1
0.00455729166666663,0.0013950892857143016,1,1
0.9962569645472935,0.0008565811883836094,5,1
0.9123015630812872,0.2603174845377604,5,2
0.6002139136904762,0.4831194196428571,4,3
0.9571428753080822,0.0011904580252510844,5,1
0.9905257452101934,0.0154266357421875,5,1
0.7985614594959077,0.18358139764694936,4,1
0.9613095238095238,0.014880952380952328,5,1
0.00455729166666663,0.9835379464285714,1,5
0.1765376499720982,0.09429568336123517,1,1
0.9506944928850446,0.034424554734002966,5,1
0.8922991071428571,0.10174851190476186,5,1
0.8119419642857143,0.0809151785714286,5,1
0.9444289434523809,0.0019996279761904656,5,1
0.9803292410714286,0.007765997023809534,5,1
0.44024367559523814,0.44666108630952384,3,3
0.002418154761904767,0.9975818452380952,1,5
0.6410435267857143,0.8410993303571428,4,5
0.008696056547619069,0.7472563244047619,1,4
0.036086309523809534,0.9460565476190477,1,5
0.9926587059384301,0.0013889131091889828,5,1
0.9994419642857143,0.012462797619047672,5,1
0.7069382440476191,0.31687127976190477,4,2
0.9700397309802827,0.13710312616257436,5,1
0.027948288690476164,0.025623139880952328,1,1
0.8097098214285714,0.0831473214285714,5,1
0.9867063249860492,0.007341294061569914,5,1
0.9505673363095238,0.019670758928571397,5,1
0.9297340029761905,0.0464564732142857,5,1
0.2494419642857143,0.07793898809523814,2,1
0.9624720982142857,0.0018136160714286031,5,1
0.9980654943557012,0.7245535169328963,5,4
0.9239087785993304,0.0403769356863839,5,1
0.6101190476190477,0.16369047619047616,4,1
0.2543247767857143,0.2635323660714286,2,2
0.7868768601190477,0.49883742559523814,4,3
0.9935019356863839,0.0005456833612351719,5,1
0.998611086890811,0.0013889131091889828,5,1
0.7545572916666666,0.162109375,4,1
0.9860956101190477,0.013904389880952328,5,1
0.9718191964285714,0.010323660714285698,5,1
0.9588913690476191,0.03515625,5,1
0.6843843005952381,0.3784877232142857,4,2
0.9669363839285714,0.027111235119047672,5,1
0.9964657738095238,0.009486607142857095,5,1
0.9432540166945684,0.40793645949590773,5,3
0.9973958333333334,0.0026041666666666297,5,1
0.9895833333333334,0.004464285714285698,5,1
0.7616722470238095,0.28594680059523814,4,2
0.6811012086414155,0.34508923121861046,4,2
0.9635912577311198,0.9971229916527158,5,5
0.09632937113444007,0.2963294074648902,1,2
0.3521949370702102,0.483519341832115,2,3
0.6801525297619048,0.7900855654761905,4,4
0.9837239583333334,0.01627604166666663,5,1
0.7154482886904762,0.20121837797619047,4,2
0.9677734375,0.002464657738095233,5,1
0.9938151041666666,0.03594680059523814,5,1
0.9089006696428571,0.007765997023809534,5,1
0.9840774536132812,0.00520833333333337,5,1
0.5922619047619048,0.1160714285714286,3,1
0.9637276785714286,0.00651041666666663,5,1
0.9297340029761905,0.05836123511904767,5,1
0.7610212053571428,0.41345796130952384,4,3
0.9807539440336681,0.0013889131091889828,5,1
0.32300967261904767,0.5638950892857143,2,3
0.001581101190476164,0.9984188988095238,1,5
0.6612723214285714,0.33277529761904767,4,2
0.9853174118768602,0.0027778262183779656,5,1
0.8372860863095238,0.5496186755952381,5,3
0.9938151041666666,0.012137276785714302,5,1
0.27548363095238093,0.07570684523809523,2,1
0.9769345238095238,0.023065476190476164,5,1
0.9771824791317895,0.010912758963448677,5,1
0.9340277172270275,0.11656752086821054,5,1
0.9743768601190477,0.03157552083333337,5,1
0.9847935267857143,0.015206473214285698,5,1
0.9155257997058687,0.08149800981794086,5,1
0.8536086309523809,0.27139136904761907,5,2
0.7292559487479073,0.05169632321312312,4,1
0.9914434523809523,0.0026041666666666297,5,1
0.9654482886904762,0.028599330357142905,5,1
0.9753472464425224,0.030605134509858578,5,1
0.8896484375,0.08058965773809523,5,1
0.9896763392857143,0.01627604166666663,5,1
0.8685019356863839,0.1493552071707589,5,1
0.9718191964285714,0.01627604166666663,5,1
0.9786209833054316,0.009474254789806569,5,1
0.9862816220238095,0.019670758928571397,5,1
0.9896763392857143,0.01627604166666663,5,1
0.9904761541457403,0.0035714649018787625,5,1
0.9922340029761905,0.013718377976190466,5,1
0.6903274172828311,0.3186011541457403,4,2
0.993154798235212,0.01279758271716891,5,1
0.40243675595238093,0.002325148809523836,3,1
0.8706287202380952,0.05794270833333337,5,1
0.9756324404761905,0.0362723214285714,5,1
0.98937078479196,0.006377522637244559,5,1
0.6384858630952381,0.5579427083333333,4,3
0.9807539440336681,0.995436532156808,5,5
0.036086309523809534,0.8389136904761905,1,5
0.21825390770321795,0.8293651399158296,2,5
0.8238467261904762,0.21186755952380953,5,2
0.899801526750837,0.49305561610630577,5,3
0.977232161022368,0.12395831516810829,5,1
0.5938430059523809,0.3942522321428571,3,2
0.337890625,0.6918712797619048,2,4
0.9658668154761905,0.01627604166666663,5,1
0.7486049107142857,0.08472842261904767,4,1
0.8997860863095238,0.1418805803571429,5,1
0.7902777535574776,0.007341294061569914,4,1
0.9746092841738746,0.2106740134102958,5,2
0.32538132440476186,0.2758091517857143,2,2
0.9887401035853794,0.00530751546223962,5,1
0.962890625,0.03115699404761907,5,1
0.9795386904761905,0.12760416666666663,5,1
0.9331348964146206,0.13234129406156991,5,1
0.5158730007353283,0.2103174754551479,3,2
0.9815848214285714,0.0005580357142856984,5,1
0.006001972016834056,0.9969742184593564,1,5
0.5934244791666667,0.6506231398809523,3,4
0.7392578125,0.10598028273809523,4,1
0.0160435267857143,0.025623139880952328,1,1
0.7979166848318917,0.22589283897763202,4,2
0.9297340029761905,0.028599330357142905,5,1
0.9920634315127418,0.07341275896344868,5,1
0.48854164850144155,0.5114583514985585,3,3
0.32249813988095233,0.33226376488095233,2,2
0.7803570883614677,0.04345239911760601,4,1
0.2240079243977865,0.3771825517926898,2,2
0.9837301345098586,0.01031748453776038,5,1
0.8809523809523809,0.06547619047619047,5,1
0.002185639880952328,0.24781436011904767,1,2
0.7813491821289062,0.6174603416806176,4,4
0.9926587059384301,0.0013889131091889828,5,1
0.20651971726190477,0.7934802827380952,2,4
0.9624720982142857,0.0018136160714286031,5,1
0.6138392857142857,0.00520833333333337,4,1
0.9920479910714286,0.007952008928571397,5,1
0.9920634315127418,0.0019841875348772797,5,1
0.6831287202380952,0.34663318452380953,4,2
0.9777715773809523,0.004371279761904767,5,1
0.8374720982142857,0.29943266369047616,5,2
0.030319940476190466,0.02920386904761907,1,1
0.8595610119047619,0.27734375,5,2
0.9981863839285714,0.013718377976190466,5,1
0.10758926754906062,0.8626488276890346,1,5
0.9858630952380952,0.0736607142857143,5,1
0.9594959077380952,0.022646949404761862,5,1
0.9773530505952381,0.05240885416666663,5,1
0.9688491821289062,0.007341294061569914,5,1
0.9816467648460752,0.021329425630115306,5,1
0.9970734005882627,0.005902789887927806,5,1
0.47916666666666663,0.42559523809523814,3,3
0.6620628720238095,0.37365141369047616,4,2
0.47777157738095233,0.5043712797619048,3,3
0.8813244047619048,0.14248511904761907,5,1
0.829513913109189,0.18834322974795392,5,1
0.7843191964285714,0.0013950892857143016,4,1
0.9777777535574776,0.007341294061569914,5,1
0.1821986607142857,0.9904203869047619,1,5
0.9885913303920201,0.017361050560360858,5,1
0.9807477678571429,0.0013950892857143016,5,1
0.962890625,0.0013950892857143016,5,1
0.9021329879760742,0.26254958198184064,5,2
0.8819289434523809,0.0704520089285714,5,1
0.29706101190476186,0.20293898809523814,2,2
0.022088913690476164,0.03148251488095233,1,1
0.8030753362746466,0.17013894943963914,5,1
0.9723214649018788,0.0038690112885975125,5,1
0.004510788690476164,0.8823939732142857,1,5
0.8898809523809523,0.10416666666666663,5,1
0.6880115327380952,0.7703218005952381,4,4
0.08598400297619047,0.8842540922619048,1,5
0.1962890625,0.20252046130952384,1,2
0.16527157738095233,0.15615699404761907,1,1
0.8040675208682105,0.19593247913178946,5,1
0.9796781994047619,0.0322265625,5,1
0.6488095238095238,0.34523809523809523,4,2
0.0628968193417504,0.10972222827729727,1,1
0.20889136904761907,0.9042038690476191,2,5
0.9416387648809523,0.23098028273809523,5,2
