male,female,male_quantized,female_quantized
0.1240234375,0.8610956101190477,1,5
0.40843563988095233,0.7790643601190477,3,4
0.9718749636695498,0.01324408394949772,5,1
0.014555431547619069,0.9765159970238095,1,5
0.9971168154761905,0.9880022321428571,5,5
0.46098400297619047,0.42889694940476186,3,3
0.5115792410714286,0.11044456845238093,3,1
0.6752697172619048,0.8277064732142857,4,5
0.9810267857142857,0.0040922619047618625,5,1
0.29431733630952384,0.3634207589285714,2,2
0.9999069940476191,0.9911644345238095,5,5
0.9774460565476191,0.013625372023809534,5,1
0.5145554315476191,0.4884207589285714,3,3
0.038364955357142905,0.012230282738095233,1,1
0.9979538690476191,0.005022321428571397,5,1
0.69140625,0.5079985119047619,4,3
0.7926090785435268,0.20441473098028273,4,2
0.8912698654901414,0.13075401669456843,5,1
0.9890252976190477,0.0020461309523809312,5,1
0.6874069940476191,0.08937872023809523,4,1
0.8000991457984561,0.030257997058686703,5,1
0.994140625,0.1576450892857143,5,1
0.6893849145798456,0.5993055616106306,4,3
0.48898810432070783,0.4901785623459589,3,3
0.94140625,0.055617559523809534,5,1
0.6841982886904762,0.31282552083333337,4,2
0.8199869791666666,0.5579892113095238,5,3
0.8869977678571429,0.40169270833333337,5,3
0.9580078125,0.015206473214285698,5,1
0.010602678571428603,0.0161830357142857,1,1
0.9580078125,0.02115885416666663,5,1
0.9846229553222656,0.006448473249162978,5,1
0.013160342261904767,0.013625372023809534,1,1
0.10550598871140249,0.016517820812407047,1,1
0.6947079613095238,0.45707775297619047,4,3
0.33896019345238093,0.5687779017857143,2,3
0.9728887648809523,0.012230282738095233,5,1
0.015811011904761862,0.9812127976190477,1,5
0.9708332788376581,0.004761922927129847,5,1
0.6709820883614677,0.32336307707287015,4,2
0.9994419642857143,0.009486607142857095,5,1
0.9215959821428571,0.21828497023809523,5,2
0.11616443452380953,0.7856212797619048,1,4
0.5800316220238095,0.40508742559523814,3,3
0.9814484005882627,0.027480170840308737,5,1
0.47415669759114587,0.15084330240885413,3,1
0.4855654580252511,0.10074406578427264,3,1
0.7260130019414992,0.27637027558826266,4,2
0.9990234375,0.003952752976190466,5,1
0.8062220982142857,0.030087425595238138,5,1
0.7675316220238095,0.22353980654761907,4,2
0.9979662214006696,0.00500996907552087,5,1
0.20247395833333337,0.4255022321428571,2,3
0.9816467648460752,0.009424663725353444,5,1
0.7278274445306682,0.1680059069678892,4,1
0.09491257440476186,0.05687313988095233,1,1
0.38224211193266366,0.8112102690197173,2,5
0.3583984375,0.9183872767857143,2,5
0.7290271577380952,0.5060918898809523,4,3
0.6754464649018788,0.6965773446219308,4,4
0.8136904580252511,0.02261906578427264,5,1
0.8486793154761905,0.09635416666666663,5,1
0.9711681547619048,0.055617559523809534,5,1
0.9788411458333334,0.018182663690476164,5,1
0.12450390770321795,0.8546627589634487,1,5
0.7871031988234747,0.23373013450985858,4,2
0.9341982886904762,0.1044921875,5,1
0.9609840029761905,0.006277901785714302,5,1
0.9846229553222656,0.0004960922967820469,5,1
0.14067459106445312,0.29087302798316594,1,2
0.34788876488095233,0.28603980654761907,2,2
0.8417503720238095,0.7028924851190477,5,4
0.9758649553571429,0.009254092261904767,5,1
0.9614087059384301,0.017757960728236655,5,1
0.4580078125,0.7473493303571428,3,4
0.9852182297479539,0.9939484369187128,5,5
0.9822420392717633,0.0028770083472842156,5,1
0.1727120535714286,0.43145461309523814,1,3
0.9846229553222656,0.01240085420154391,5,1
0.9910714285714286,0.0029761904761904656,5,1
0.9580078125,0.015206473214285698,5,1
0.7390376499720982,0.5139385405040923,4,3
0.994140625,0.0028831845238095344,5,1
0.6765252976190477,0.3443080357142857,4,2
0.8650794256301153,0.11706343151274179,5,1
0.9741443452380952,0.005022321428571397,5,1
0.9823288690476191,0.008742559523809534,5,1
0.5637555803571428,0.7606491815476191,3,4
0.9860614594959077,0.010962350027901802,5,1
0.6871744791666667,0.8217540922619048,4,5
0.9897693452380952,0.0013020833333333703,5,1
0.9847935267857143,0.00032552083333337034,5,1
0.8818824404761905,0.13299851190476186,5,1
0.9361607687813895,0.05252974373953678,5,1
0.5420386904761905,0.5383184523809523,3,3
0.9851655505952381,0.017810639880952328,5,1
0.41257440476190477,0.27492559523809523,3,2
0.06217447916666663,0.9765159970238095,1,5
0.9788411458333334,0.018182663690476164,5,1
0.9562872023809523,0.034784226190476164,5,1
0.5209263392857143,0.48204985119047616,3,3
0.47414434523809523,0.8740699404761905,3,5
0.9890252976190477,0.007998511904761862,5,1
0.6752697172619048,0.5538969494047619,4,3
0.9047619047619048,0.0357142857142857,5,1
9.300595238093123e-05,0.020740327380952328,1,1
0.9716360455467588,4.518599737257656e-05,5,1
0.5300595419747489,0.4669642675490606,3,3
0.7732638404482887,0.21780758812313983,4,2
0.9464285714285714,0.0535714285714286,5,1
0.0060453869047618625,0.9790736607142857,1,5
0.9938492547898066,0.006150745210193431,5,1
0.6735491071428572,0.30561755952380953,4,2
0.9056919642857143,0.37109375,5,2
0.28994605654761907,0.6892206101190477,2,4
0.00390625,0.9871651785714286,1,5
0.6276506696428572,0.8038969494047619,4,5
0.27208891369047616,0.48683965773809523,2,3
0.0018601190476190688,0.8225446428571428,1,5
0.6994977678571428,0.33324032738095233,4,2
0.005626860119047672,0.027111235119047672,1,1
0.9428013392857143,0.07803199404761907,5,1
0.9877697172619048,0.003301711309523836,5,1
